Hart's Location,Carroll,41,44,05,11,71,21,07
Haverhill,Grafton,4697,44,02,03,72,03,50
Hebron,Grafton,602,43,41,37,71,48,24
Henniker,Merrimack,4836,43,10,47,71,49,20
Hill,Merrimack,1089,43,31,18,71,42,05
Hillsborough,Hillsborough,6011,43,06,53,71,53,42
Hinsdale,Cheshire,4046,42,47,10,72,29,11
Holderness,Grafton,2108,43,43,52,71,35,18
Hollis,Hillsborough,7684,42,44,35,71,35,31
Hooksett,Merrimack,13451,43,05,48,71,27,54
Hopkinton,Merrimack,5589,43,11,29,71,40,31
Hudson,Merrimack,24467,42,45,53,71,26,23
Jackson,Carroll,816,44,08,45,71,10,51
Jaffrey,Cheshire,5457,42,48,50,72,01,23
Jefferson,Coos,1107,44,25,08,71,28,28
Keene,Cheshire,23409,42,56,01,72,16,41
Kensington,Rockingham,2124,42,55,37,70,56,38
Kilkenny,Coos,0,44,29,43,71,23,33
Kingston,Rockingham,6024,42,56,11,71,03,12
Laconia,Belknap,15951,43,31,39,71,28,13
Lancaster,Coos,3507,44,29,20,71,34,09
Landaff,Grafton,415,44,10,30,71,53,13
Langdon,Sullivan,688,43,10,00,72,22,49
Lebanon,Grafton,13151,43,38,32,72,15,06
Lee,Strafford,4330,43,07,23,71,00,41
Lempster,Sullivan,1154,43,14,18,72,12,38
Lincoln,Grafton,1662,44,02,42,71,40,14
Lisbon,Grafton,1595,44,12,48,71,54,39
Litchfield,Hillsborough,8271,42,50,39,71,28,47
Littleton,Grafton,5928,44,18,22,71,46,12
Livermore,Grafton,0,44,04,28,71,22,38
Londonderry,Rockingham,24129,42,51,54,71,22,26
Loudon,Merrimack,5317,43,17,08,71,28,04
Low and Burbank's Grant,Coos,0,44,19,33,71,21,46
Lyman,Grafton,533,44,15,16,71,57,00
Lyme,Grafton,1716,43,48,37,72,09,22
Lyndeborough,Hillsborough,1683,42,54,27,71,45,59
Madbury,Strafford,1771,43,10,09,70,55,28
Madison,Carroll,2502,43,54,14,71,08,50
Manchester,Hillsborough,109830,42,59,27,71,27,49
Marlborough,Cheshire,2063,42,54,17,72,12,36
Marlow,Cheshire,742,43,06,57,72,11,49
Martin's Location,Coos,0,44,19,43,71,12,50
Mason,Hillsborough,1382,42,44,37,71,46,08
Meredith,Belknap,6241,43,39,28,71,30,02
Merrimack,Hillsborough,25494,42,51,59,71,29,37
Middleton,Strafford,1783,43,28,41,71,04,17
Milan,Coos,1337,44,34,24,71,11,06
Milford,Hillsborough,15115,42,50,07,71,38,56
Millsfield,Coos,23,44,48,07,71,16,32
Milton,Strafford,4598,43,24,35,70,59,18
Monroe,Grafton,788,44,15,37,72,03,17
Mont Vernon,Hillsborough,2409,42,53,40,71,40,27
Moultonborough,Carroll,4044,43,45,18,71,23,47
Nashua,Hillsborough,86494,42,45,27,71,27,52
Nelson,Cheshire,729,42,59,22,72,07,40
New Boston,Hillsborough,5321,42,58,33,71,41,30
New Castle,Rockingham,968,43,04,20,70,42,58
New Durham,Strafford,2638,43,26,05,71,09,50
New Hampton,Belknap,2165,43,36,19,71,39,10
New Ipswich,Hillsborough,5099,42,44,53,71,51,15
New London,Merrimack,4397,43,24,50,71,59,07
Newbury,Merrimack,2072,43,19,17,72,02,09
Newfields,Rockingham,1680,43,02,13,70,56,18
Newington,Rockingham,753,43,06,00,70,50,01
Newmarket,Rockingham,8936,43,04,58,70,56,06
Newport,Sullivan,6507,43,21,55,72,10,24
Newton,Rockingham,4603,42,52,10,71,02,04
North Hampton,Rockingham,4301,42,58,21,70,49,47
Northfield,Merrimack,4829,43,26,15,71,35,35
Northumberland,Coos,2288,44,33,48,71,33,31
Northwood,Rockingham,4241,43,11,39,71,09,03
Nottingham,Rockingham,4785,43,06,52,71,05,59
Odell,Coos,4,44,44,51,71,22,47
Orange,Grafton,331,43,39,14,71,58,17
Orford,Grafton,1237,43,54,18,72,08,15
Ossippee,Carroll,4345,43,41,05,71,07,02
Pelham,Hillsborough,12897,42,44,04,71,19,28
Pembroke,Merrimack,7115,43,08,48,71,27,27
Peterborough,Hillsborough,6284,42,52,14,71,57,06
Piermont,Grafton,790,43,58,11,72,04,47
Pinkham's Grant,Coos,9,44,15,30,71,15,18
Pittsburg,Coos,869,45,03,04,71,23,29
Pittsfield,Merrimack,4106,43,18,17,71,19,42
Plainfield,Sullivan,2364,43,32,03,72,21,22
Plaistow,Rockingham,7609,42,50,11,71,05,41
Plymouth,Grafton,6990,43,45,27,71,41,19
Portsmouth,Rockingham,21223,43,4,3,70,45,38
Randolph,Coos,310,44,22,31,71,16,47
Raymond,Rockingham,10138,43,02,10,71,11,00
Richmond,Cheshire,1155,42,45,17,72,16,18
Rindge,Cheshire,6014,42,44,59,72,00,37
Rochester,Strafford,29752,43,18,7,70,58,23
Rollinsford,Strafford,2527,43,14,10,70,49,08
Roxbury,Cheshire,229,42,57,18,72,12,21
Rumney,Grafton,1480,43,48,15,71,48,48
Rye,Rockingham,5298,43,00,48,70,46,15
Salem,Rockingham,28776,42,47,18,71,12,03
Salisbury,Merrimack,1382,43,22,43,71,43,03
Sanbornton,Belknap,2966,43,29,28,71,35,01
Sandown,Rockingham,5986,42,55,42,71,11,15
Sandwich,Carroll,1326,43,47,27,71,24,40
Sargent's Purchase,Coos,3,44,15,45,71,17,54
Seabrook,Rockingham,8693,42,53,37,70,52,24
Second College Grant,Coos,0,44,54,50,71,06,47
Sharon,Hillsborough,352,42,48,47,71,54,56
Shelburne,Coos,372,44,24,04,71,04,29
Somersworth,Strafford,11766,43,15,45,70,51,51
South Hampton, Rockingham,814,42,52,51,70,57,45
Springfield,Sullivan,1311,43,29,43,72,02,03
Stark,Coos,566,44,36,05,71,24,33
Stewartstown,Coos,1004,45,00,22,71,30,28
Stoddard,Cheshire,1232,43,04,43,72,06,52
Strafford,Strafford,3991,43,16,13,71,07,34
Stratford,Coos,746,44,39,15,71,33,31
Stratham,Rockingham,7255,43,01,26,70,54,49
Success,Coos,0,44,31,38,71,04,47
Sugar Hill,Grafton,563,44,12,55,71,47,58
Sullivan,Cheshire,677,43,00,47,72,13,15
Sunapee,Sullivan,3365,43,23,15,72,05,16
Surry,Cheshire,732,43,01,04,72,19,16
Sutton,Merrimack,1837,43,20,38,71,56,28
Swanzey,Cheshire,7320,42,52,11,72,16,54
Tamworth,Carroll,2856,43,51,34,71,15,46
Temple,Hillsborough,1366,42,49,05,71,51,05
Thompson and Meserve's Purchase,Coos,0,44,17,54,71,18,42
Thornton,Grafton,2490,43,53,34,71,40,33
Tilton,Belknap,3567,43,26,32,71,35,22
Troy,Cheshire,2145,42,49,30,72,11,01
Tuftonboro,Carroll,2387,43,41,46,71,13,21
Unity,Sullivan,1671,43,17,38,72,15,37
Wakefield,Carroll,5078,43,34,06,71,01,47
Walpole,Cheshire,3734,43,04,46,72,25,33
Warner,Merrimack,2833,43,16,49,71,48,57
Warren,Grafton,904,43,55,29,71,53,30
Washington,Sullivan,1123,43,10,35,72,05,51
Waterville Valley,Grafton,247,43,57,23,71,30,31
Weare,Hillsborough,8785,43,05,41,71,43,50
Webster,Merrimack,1872,43,19,44,71,43,04
Wentworth,Merrimack,911,43,52,08,71,54,36
Wentworth's Location,Coos,33,44,50,23,71,08,04
Westmoreland,Cheshire,1874,42,57,43,72,26,32
Whitefield,Coos,2306,44,22,24,71,36,44
Wilmot,Merrimack,1358,43,27,03,71,54,48
Wilton,Hillsborough,3877,42,50,36,71,44,06
Winchester,Cheshire,4341,42,46,24,72,22,59
Windham,Rockingham,13592,42,48,02,71,18,15
Windsor,Hillsborough,224,43,08,33,72,01,33
Wolfeboro,Carroll,6269,43,35,03,71,12,46
Woodstock,Grafton,1374,43,58,40,71,41,09
